第39表 死亡数，選択死因分類・保健所・市町村別,02_死亡総数,03_結核Ｓｅ01,04_悪性新生物Ｓｅ02,05_胃の悪性新生物（再掲）Ｓｅ04,06_糖尿病Ｓｅ14,07_心疾患（高血圧性を除く）Ｓｅ16,08_脳血管疾患Ｓｅ21,09_肺炎Ｓｅ26,10_老衰Ｓｅ31,11_不慮の事故Ｓｅ32,12_平成25年交通事故（再掲）Ｓｅ33,13_自殺Ｓｅ34
幕別町,307,1,77,13,3,64,30,33,10,8,2,9
池田町,111,0,32,5,3,20,11,9,5,3,0,1
豊頃町,41,0,12,0,0,8,3,5,0,3,0,1
本別町,113,0,30,3,1,17,9,6,3,6,1,1
足寄町,94,0,27,7,2,16,9,10,3,3,0,2
陸別町,36,0,11,2,2,4,3,0,2,1,0,0
浦幌町,81,0,20,2,2,15,7,5,1,0,0,2
釧路市,2016,5,695,80,28,326,143,185,93,61,7,45
釧路町,169,0,60,7,2,21,16,17,7,5,1,5
厚岸町,151,0,47,7,0,33,11,10,4,6,3,2
浜中町,91,0,30,3,1,19,9,9,3,2,0,1
標茶町,108,0,40,5,0,9,9,10,5,5,1,0
弟子屈町,103,0,34,7,0,15,7,6,3,3,0,4
鶴居村,32,1,14,2,0,7,2,1,1,1,0,1
白糠町,142,0,55,4,1,20,15,16,7,6,2,2
根室市,353,0,108,18,5,59,35,32,11,10,4,7
別海町,159,0,47,7,4,26,21,7,7,2,0,4
中標津町,217,0,60,5,4,41,24,12,5,12,4,3
標津町,76,0,22,5,1,13,12,6,1,2,1,1
羅臼町,67,0,28,1,0,10,4,9,1,3,2,1
網走市,398,1,116,13,7,65,21,27,27,19,3,14
斜里町,151,0,36,2,2,25,9,18,15,3,2,3
清里町,76,0,20,1,0,12,8,6,3,4,2,3
小清水町,65,0,23,5,0,6,10,4,5,1,0,3
大空町,97,0,19,0,0,33,11,7,0,4,1,3
北見市,1439,1,447,56,16,210,152,148,77,35,9,26
美幌町,237,0,78,9,2,33,20,26,10,7,0,3
津別町,92,0,25,6,1,21,6,15,2,2,0,1
訓子府町,72,0,27,0,2,7,5,9,5,1,0,1
置戸町,58,0,18,2,0,7,6,5,2,2,0,0
紋別市,316,0,109,16,5,59,37,17,8,7,1,2
佐呂間町,87,0,22,0,0,26,5,7,3,4,2,1
遠軽町,295,0,86,14,2,49,20,30,21,14,0,8
湧別町,144,0,48,6,1,26,7,23,8,4,0,3
滝上町,49,0,13,2,1,8,5,4,2,2,0,0
興部町,50,0,18,3,1,10,5,2,2,3,0,2
西興部村,32,0,7,1,0,7,6,4,1,0,0,0
雄武町,72,0,20,5,0,17,12,5,0,1,0,3
稚内市,474,0,137,13,2,86,36,47,24,13,2,11
猿払村,27,0,3,0,1,6,1,4,6,2,1,0
浜頓別町,48,0,11,0,1,8,6,7,2,1,1,1
中頓別町,26,0,6,0,0,6,1,0,2,1,0,0
枝幸町,109,0,35,2,2,17,14,2,4,4,0,1
豊富町,56,0,5,0,2,14,4,2,15,2,0,2
礼文町,48,0,12,2,0,11,7,2,5,1,0,0
利尻町,28,0,11,0,0,3,2,3,2,1,0,1
利尻富士町,48,0,23,2,0,5,5,1,5,1,0,1
幌延町,30,0,5,0,0,9,2,2,5,1,1,0
留萌市,275,2,85,7,2,46,32,36,5,6,2,4
増毛町,91,0,22,1,0,23,4,8,3,1,0,1
小平町,59,0,28,4,0,6,4,6,2,2,1,1
苫前町,58,0,17,1,1,6,10,4,2,1,0,2
羽幌町,110,0,38,6,1,22,7,8,9,4,0,2
初山別村,17,0,6,1,0,5,1,1,0,1,0,0
