第81表 医療施設数および率（人口10万対），施設の種類・保健所・市町村別,02_実数病院総数,03_精神科病院,04_一般病院,05_療養病床を有する病院（再掲）,06_一般診療所総数,07_有床,08_療養病床を有する診療所(再掲),09_無床,10_歯科診療所,11_率（人口１０万対）病院総数,12_精神科病院,13_一般病院,14_療養病床を有する病院（再掲）,15_一般診療所総数,16_有床,17_平成26年10月１日現在療養病床を有する診療所(再掲),18_無床,19_歯科診療所
豊浦町,1,,1,,4,,,4,1,23.0,,23.0,,92.0,,,92.0,23.0
壮瞥町,2,1,1,1,1,,,1,1,67.1,33.6,33.6,33.6,33.6,,,33.6,33.6
洞爺湖町,2,,2,2,8,,,8,4,21.3,,21.3,21.3,85.4,,,85.4,42.7
苫小牧市,13,2,11,7,95,15,,80,79,7.5,1.2,6.4,4.1,55.0,8.7,,46.3,45.8
白老町,1,,1,,6,2,,4,9,5.6,,5.6,,33.5,11.2,,22.3,50.2
厚真町,,,,,2,,,2,2,,,,,42.8,,,42.8,42.8
安平町,1,,1,1,6,,,6,4,12.1,,12.1,12.1,72.6,,,72.6,48.4
むかわ町,1,,1,,3,1,,2,6,11.3,,11.3,,33.8,11.3,,22.5,67.6
浦河町,1,,1,1,8,,,8,7,7.5,,7.5,7.5,60.1,,,60.1,52.6
様似町,,,,,3,,,3,2,,,,,65.5,,,65.5,43.7
えりも町,,,,,4,1,,3,2,,,,,79.7,19.9,,59.8,39.8
日高町,2,,2,1,8,1,,7,8,15.9,,15.9,7.9,63.5,7.9,,55.6,63.5
平取町,1,,1,1,2,,,2,4,19.2,,19.2,19.2,38.4,,,38.4,76.8
新冠町,,,,,4,,1,3,2,,,,,71.6,,17.9,53.7,35.8
新ひだか町,4,1,3,2,17,1,,16,12,16.7,4.2,12.6,8.4,71.2,4.2,,67.0,50.2
帯広市,18,1,17,8,102,16,,86,104,10.8,0.6,10.2,4.8,61.0,9.6,,51.4,62.2
音更町,4,1,3,2,22,,,22,17,8.9,2.2,6.7,4.5,49.1,,,49.1,38.0
士幌町,1,,1,1,2,,,2,3,16.4,,16.4,16.4,32.7,,,32.7,49.1
上士幌町,,,,,3,,1,2,2,,,,,63.0,,21.0,42.0,42.0
鹿追町,1,,1,1,4,1,,3,2,17.9,,17.9,17.9,71.7,17.9,,53.8,35.8
新得町,,,,,8,1,,7,4,,,,,127.2,15.9,,111.3,63.6
清水町,2,,2,1,4,2,,2,4,20.9,,20.9,10.5,41.8,20.9,,20.9,41.8
芽室町,1,,1,,4,,,4,9,5.4,,5.4,,21.4,,,21.4,48.2
中札内村,,,,,3,,1,2,2,,,,,75.8,,25.3,50.5,50.5
更別村,,,,,2,1,,1,1,,,,,61.3,30.7,,30.7,30.7
大樹町,1,,1,,3,,1,2,2,17.5,,17.5,,52.4,,17.5,35.0,35.0
広尾町,1,,1,1,5,,,5,3,13.8,,13.8,13.8,69.0,,,69.0,41.4
幕別町,1,,1,1,18,,,18,11,3.7,,3.7,3.7,67.2,,,67.2,41.1
池田町,1,,1,,6,,,6,4,14.2,,14.2,,85.3,,,85.3,56.9
豊頃町,,,,,4,1,,3,1,,,,,126.6,31.6,,94.9,31.6
