産婦人科時間距離,時間距離 平均,時間距離 最大,時間距離 最小,時間距離 最大最小比,人口
松前町,2862.59344262,3619.2,1989.3,1.8193334339,4360.76060975
枝幸町,3782.81708075,5915.3,2822.7,2.095617671,8159.11483568
栗山町,1169.5,1764,686.5,2.5695557174,14924.8805222
根室市,2548.98882682,3832.4,1029.6,3.7222222222,27024.2178608
森町,1610.74097222,2617.4,906.7,2.8867321054,15716.1339481
様似町,823.51375,1469.7,332.4,4.4214801444,2307.89286337
標津町,1345.34816176,2661.1,571.2,4.6587885154,5336.94946817
標茶町,2197.10432612,3194.1,1120.9,2.8495851548,7428.66209992
歌志内市,780.433333333,1324,427.6,3.0963517306,5289.6600425
比布町,1328.49301075,2513,896.3,2.8037487448,3648.04140862
江別市,440.825294118,1168,42.5,27.4823529412,113457.465624
江差町,328.073076923,681.6,33.6,20.2857142857,7931.11224764
池田町,1411.7211039,3042.4,798,3.8125313283,8040.04681748
沼田町,1061.221875,1495.9,808.3,1.8506742546,3243.54792836
泊村,1640.03684211,1900.2,1386.9,1.3701059918,1292.01466555
洞爺湖町,1354.7447619,2153.4,556.5,3.869541779,6570.69680567
津別町,1927.92845188,3175.2,863.2,3.6784059314,6450.78433344
浜中町,1954.39164345,3378.6,1079.8,3.1289127616,6140.02525049
浜頓別町,4376.44771242,5140.7,3611.1,1.4235828418,4860.67739538
浦幌町,2729.75762712,3397.2,2129.4,1.59537898,4169.06954499
浦河町,673.7,1571.1,5.6,280.5535714286,8880.2785771
浦臼町,926.304487179,1307,520.6,2.510564733,3120.25764002
深川市,519.034603175,1808.7,21.5,84.1255813953,25255.9311225
清水町,1096.8307393,1911.1,404.1,4.7292749319,9001.87995739
清里町,2183.98656126,2744.3,1735.8,1.5810001152,4305.87109782
湧別町,1046.77822014,2055.8,236.5,8.6926004228,9554.99734689
滝上町,2030.62676056,2878.6,1353.4,2.1269395596,3068.7459442
滝川市,419.057185629,1106,39,28.358974359,39988.2761259
猿払村,3191.00882353,4037.9,2473.5,1.6324641197,2616.96303827
由仁町,1390.09676375,2174.3,1017.8,2.1362743172,5603.79694158
えりも町,2240.75342466,3089.8,1361.5,2.2694087404,2469.18358306
せたな町,2870.29328165,3818.9,1789.9,2.1335828817,8392.18414789
むかわ町,2573.19338061,4307.6,1492.7,2.8857774503,9661.39855465
ニセコ町,978.109504132,1570.1,392.8,3.9971995927,4851.38840105
留寿都村,1762.53960396,2137.4,1338.2,1.5972201465,2111.97952846
留萌市,471.168211921,1333.5,98.5,13.538071066,23075.5508176
登別市,935.864864865,1777.6,203.1,8.7523387494,48442.949872
白糠町,1739.93488372,2949.2,949.4,3.1063829787,8740.94366219
白老町,1465.28796296,2313.8,838.9,2.7581356538,15798.045989
真狩村,1435.85677419,1969.7,918.5,2.144474687,1963.35561922
知内町,2363.06716418,2907.2,1886,1.5414634146,5362.28308907
石狩市,1282.86136364,2895.2,250.3,11.5669196964,56451.7518904
砂川市,250.406593407,949.8,27.4,34.6642335766,19520.3993523
礼文町,15472.2970588,16352.5,14741.7,1.1092682662,2812.87637318
神恵内村,2269.9375,2736.7,2055,1.3317274939,906.943627977
福島町,3406.4140625,3931.5,2792.7,1.4077774197,4391.16095483
秩父別町,696.807377049,1137.4,428.8,2.6525186567,3089.85729494
稚内市,963.877370031,2347.2,56.5,41.5433628319,40630.0611885
積丹町,2669.66627907,3240.1,2032.9,1.5938314723,2853.41016661
紋別市,763.728612717,2172.3,48,45.25625,25464.5112678
網走市,779.041044776,2244.7,33,68.0212121212,41116.4667097
置戸町,1827.96805556,2886.8,1300.9,2.2190790991,3468.17270028
羅臼町,3144.37816092,4464.7,2173.2,2.054435855,4430.00584019
美唄市,951.606707317,1434.1,480.1,2.9870860237,28965.6176753
美幌町,1491.00605381,2656.1,684.4,3.8809175921,20896.8594208
美深町,1340.05441176,2203.9,856.3,2.5737475184,4489.96207631
美瑛町,1462.02810707,5234.1,578.3,9.0508386651,10594.5202575
羽幌町,2698.76193548,3606.8,2179.3,1.6550268435,8403.16205028
興部町,1284.98809524,2307.6,650.8,3.5457897972,4123.46902739
芦別市,1430.88833922,2399.7,477,5.0308176101,18871.0142034
芽室町,597.588235294,1501.9,16.2,92.7098765432,23678.4909949
苫前町,2280.59161677,3050.1,1670.3,1.8260791475,3381.19393522
苫小牧市,551.851697128,1872.2,25.3,74,159307.097171
蘭越町,1864.42931034,2796.3,1201,2.3283097419,4528.80696168
西興部村,2229.435,2819.1,1830.2,1.5403234619,1235.43624556
訓子府町,1125.40677966,1785.4,608.4,2.9345825115,4909.65572911
豊富町,1973.42240664,2782.3,1070.8,2.5983376914,5899.355852
豊浦町,1506.24180328,2340.6,926.6,2.5260090654,2219.22519025
豊頃町,2022.11858407,3323.5,1054.4,3.1520295903,3083.94611673
赤井川村,1554.3,1973.7,1095.6,1.8014786418,1153.52420467
赤平市,730,1246.8,357.9,3.4836546521,12598.4096702
足寄町,3341.9372315,4701.4,2294.9,2.0486295699,7785.86615452
遠別町,4392.92695652,5847.9,3720.4,1.5718471132,2627.09648663
遠軽町,847.946153846,2607.1,16.4,158.9695121951,22855.1483158
釧路市,1223.75393939,3713.9,6.8,546.1617647059,166939.272692
釧路町,686.994252874,2168.3,166.5,13.0228228228,22427.8545768
長万部町,1652.46357616,3220.4,760.5,4.2345825115,5594.50794725
長沼町,990.887972509,1342.3,552.2,2.4308221659,12767.3004762
陸別町,3150.58695652,3849.6,1983.6,1.9407138536,2356.02674307
雄武町,2207.09793814,3340.8,1268.7,2.6332466304,5039.70164969
雨竜町,882.494054054,1477.8,526.8,2.80523918,2851.72125855
音威子府村,2373.2173913,2792.5,2023,1.3803756797,906.099173948
音更町,949.344987147,2113.9,182.6,11.5766703176,34971.374735
鶴居村,2094.19271255,3393.5,1007.7,3.3675697132,2595.85168753
鷹栖町,1035.04539007,1764.4,453.5,3.8906284454,7286.79382292
鹿追町,1709.06219178,3080.1,949.5,3.2439178515,5706.82033321
鹿部町,2148.71891892,2459.1,1894.5,1.2980205859,4821.83251001
黒松内町,2632.87680412,3125.6,2049.2,1.5252781573,3137.99117464
