第40表 死亡率（人口10万対），選択死因分類・保健所・市町村別,02_死亡総数,03_結核Se01,04_悪性新生物Se02,05_胃の悪性新生物（再掲）Se04,06_糖尿病Se14,07_心疾患（高血圧性を除く）Ｓｅ16,08_脳血管疾患Ｓｅ21,09_肺炎Ｓｅ26,10_老衰Ｓｅ31,11_不慮の事故Ｓｅ32,12_平成２５年交通事故（再掲）Ｓｅ33,13_自殺Ｓｅ34
増毛町,1923.8900634249471,,465.100,21.142,,486.300,84.600,169.133,63.425,21.142,,21.142
小平町,1705.2023121387281,,809.200,115.607,,173.400,115.600,173.410,57.803,57.803,28.902,28.902
苫前町,1661.8911174785101,,487.100,28.653,28.653,171.900,286.500,114.613,57.307,28.653,,57.307
羽幌町,1456.9536423841059,,503.300,79.470,13.245,291.400,92.700,105.960,119.205,52.980,,26.490
初山別村,1307.6923076923076,,461.500,76.923,,384.600,76.900,76.923,,76.923,,
遠別町,1349.4809688581315,,311.400,,,69.200,103.800,138.408,242.215,34.602,,69.204
天塩町,1704.5454545454545,,426.100,85.227,,255.700,170.500,340.909,28.409,,,56.818
鷹栖町,1179.7752808988764,,393.300,70.225,14.045,210.700,98.300,98.315,70.225,28.090,,14.045
東神楽町,1089.4141829393627,,298.000,51.387,,123.300,92.500,184.995,71.900,71.942,,41.110
当麻町,1315.7894736842104,,336.300,58.480,14.620,219.300,117.000,190.058,73.099,73.099,14.620,29.240
比布町,1645.2442159383031,,385.600,,,334.200,77.100,282.776,25.707,51.414,,
愛別町,1883.1168831168829,,487.000,162.338,64.935,259.700,259.700,97.403,162.338,64.935,,64.935
上川町,1615.9250585480095,,562.100,117.096,,281.000,187.400,117.096,70.258,23.419,,
東川町,1302.6819923371647,,383.100,51.086,,178.800,102.200,217.114,51.086,12.800,,25.543
美瑛町,1343.984962406015,9.398,451.100,46.992,9.398,206.800,75.200,122.180,56.391,93.985,9.398,9.398
幌加内町,1500,,312.500,,62.500,312.500,250.000,62.500,62.500,62.500,,
