世帯構成,3世代世帯数,65歳以上のみ_単独世帯数,3世代世帯割合（%）(3世代世帯数/総世帯数),65歳以上のみ_単独世帯割合（%）(65歳以上のみ_単独世帯数/総世帯数)
井原市芳井町吉井追崎上・追崎南_4185,8,1,23.52941176,2.941176471
井原市芳井町吉井追崎中・追崎下１，２_4157,12,4,21.42857143,7.142857143
井原市芳井町吉井尾中_4090,8,6,20,15
井原市芳井町吉井片山上・片山下・小田組住_4044,1,3,6.666666667,20
井原市芳井町吉井矢谷東_4123,4,0,33.33333333,0
井原市芳井町佐屋_3102,2,9,6.25,28.125
井原市芳井町山村橋詰・梅木東・梅木西_3201,2,4,13.33333333,26.66666667
井原市芳井町山村千峯_2888,0,1,0,33.33333333
井原市芳井町山村津賀_3042,0,1,0,25
井原市芳井町種国華・川西・平田_3374,9,4,28.125,12.5
井原市芳井町種種下・種中・日進_3290,2,1,18.18181818,9.090909091
井原市芳井町種川東・川東南・種団地_3378,8,2,28.57142857,7.142857143
井原市芳井町種別処・妙見山_3148,3,4,33.33333333,44.44444444
井原市芳井町上鴫高原東・高原中・高原西_2972,0,6,0,30
井原市芳井町上鴫日指・日南下の一部_3084,3,5,23.07692308,38.46153846
井原市芳井町上鴫日南上・日南下の一部_3075,2,3,9.090909091,13.63636364
井原市芳井町西三原高松_2918,0,0,0,0
井原市芳井町西三原三原_2934,0,2,0,40
井原市芳井町西三原西村入_2809,1,5,6.666666667,33.33333333
井原市芳井町西三原畑・門原_2957,0,0,0,0
井原市芳井町川相宇内塚_3686,5,2,45.45454545,18.18181818
井原市芳井町川相川相上・栗元_3637,4,2,33.33333333,16.66666667
井原市芳井町川相谷山・宮草_3535,2,1,28.57142857,14.28571429
井原市芳井町川相日ノ丸・相愛・共力_3728,8,2,29.62962963,7.407407407
井原市芳井町川相福原・殿川内_3761,8,2,38.0952381,9.523809524
井原市芳井町川相落・小川筋_3509,12,5,38.70967742,16.12903226
井原市芳井町池谷赤迫・横尾・池谷上・増原_3336,2,1,28.57142857,14.28571429
井原市芳井町池谷本池谷・室畑_3183,1,1,33.33333333,33.33333333
井原市芳井町東三原下市_2851,0,2,0,25
井原市芳井町東三原出谷_2830,0,4,0,57.14285714
井原市芳井町東三原上市_2846,0,6,0,46.15384615
井原市芳井町東三原入野・太刃洗_2815,1,0,25,0
井原市芳井町片塚井ノ頭・灰ケ峠・能木_3466,1,3,11.11111111,33.33333333
井原市芳井町片塚丸尾・古屋・片塚中_3695,1,2,10,20
井原市芳井町片塚名郷・城ケ蔵_3469,2,2,25,25
井原市芳井町与井大下東・大下西_4097,8,3,24.24242424,9.090909091
井原市芳井町与井南上・南下_4190,7,6,21.21212121,18.18181818
井原市芳井町与井畑・山脇_4104,5,1,27.77777778,5.555555556
井原市芳井町与井与井佐原上１・与井佐原上_4145,2,3,10,15
井原市芳井町与井与井上・与井佐原下_4159,3,2,25,16.66666667
井原市芳井町与井与井団地_4184,2,0,13.33333333,0
井原市芳井町与井与井中上・与井中下_4187,1,2,14.28571429,28.57142857
井原市芳井町簗瀬見瀬側・山手側_4218,7,3,26.92307692,11.53846154
井原市芳井町簗瀬桜・田ノ迫_4296,4,2,13.33333333,6.666666667
井原市芳井町簗瀬山崎上・山崎下_4238,5,1,20.83333333,4.166666667
井原市芳井町簗瀬築瀬団地_4275,7,3,21.875,9.375
井原市芳井町簗瀬簗瀬中下・簗瀬中上・西ノ_4263,10,3,28.57142857,8.571428571
井原市北山町_4334,11,7,17.46031746,11.11111111
井原市木之子町_4523,166,66,15.96153846,6.346153846
井原市門田町_4616,58,22,22.13740458,8.396946565
井原市野上町_3607,24,20,17.77777778,14.81481481
笠岡市カブト西町_5119,0,1,0,33.33333333
笠岡市カブト中央町_5086,1,0,11.11111111,0
笠岡市カブト南町_5175,3,3,18.75,18.75
笠岡市みの越_4716,2,1,25,12.5
笠岡市旭が丘_5005,19,19,5.555555556,5.555555556
笠岡市一番町_5084,8,13,6.299212598,10.23622047
笠岡市園井_4819,28,30,12.78538813,13.69863014
笠岡市押撫_4869,21,5,25.6097561,6.097560976
笠岡市横島_5122,36,46,9.625668449,12.29946524
笠岡市絵師_5031,12,10,9.677419355,8.064516129
笠岡市笠岡宮地_5028,8,34,5.161290323,21.93548387
笠岡市笠岡住吉_5052,10,16,8.333333333,13.33333333
笠岡市笠岡仁王堂_5036,6,13,10.16949153,22.03389831
笠岡市笠岡正寿場_5011,3,15,3.370786517,16.85393258
笠岡市笠岡西本町西_5014,14,45,6.730769231,21.63461538
笠岡市笠岡西本町東_5041,16,49,4.923076923,15.07692308
笠岡市笠岡川辺屋南_5001,10,21,8.695652174,18.26086957
笠岡市笠岡川辺屋北_4919,46,78,9.484536082,16.08247423
笠岡市笠岡大磯_5065,11,30,6.111111111,16.66666667
笠岡市笠岡追分_4905,15,15,12.39669421,12.39669421
笠岡市笠岡殿川南_5034,0,1,0,12.5
笠岡市笠岡殿川北_4908,26,64,7.407407407,18.23361823
笠岡市笠岡浜田_5040,8,26,7.407407407,24.07407407
笠岡市笠岡伏越_5061,18,41,7.56302521,17.22689076
笠岡市笠岡本町_5055,2,14,4.166666667,29.16666667
笠岡市関戸_4684,31,16,14.22018349,7.339449541
笠岡市吉田_4705,88,66,13.45565749,10.09174312
笠岡市吉浜_4906,45,48,10.44083527,11.13689095
笠岡市金浦_4972,42,103,8.076923077,19.80769231
笠岡市九番町_5106,2,4,6.666666667,13.33333333
笠岡市五番町_5074,7,24,4.545454545,15.58441558
笠岡市広浜_4960,11,8,14.86486486,10.81081081
笠岡市甲弩_4461,57,36,16.01123596,10.11235955
笠岡市高島_5306,0,19,0,38.7755102
笠岡市今立_4852,46,23,20.08733624,10.04366812
笠岡市三番町_5081,11,15,9.401709402,12.82051282
笠岡市山口_4590,67,55,17.17948718,14.1025641
笠岡市四番町_5080,8,11,8.695652174,11.95652174
笠岡市七番町_5094,2,12,2.272727273,13.63636364
笠岡市篠坂_4786,27,15,22.31404959,12.39669421
笠岡市十一番町_5075,13,18,6.018518519,8.333333333
笠岡市十番町_5105,1,0,12.5,0
笠岡市春日台_4890,16,27,7.843137255,13.23529412
笠岡市小平井_4731,49,31,13.42465753,8.493150685
笠岡市城見台_5060,35,9,11.36363636,2.922077922
笠岡市新横島_5116,18,17,6.545454545,6.181818182
笠岡市新賀_4646,37,28,19.47368421,14.73684211
笠岡市真鍋島岩坪_5328,1,16,1.923076923,30.76923077
笠岡市真鍋島本浦_5329,3,31,3.296703297,34.06593407
笠岡市神島_5191,95,63,19.34826884,12.83095723
笠岡市神島外浦_5257,22,68,7.746478873,23.94366197
笠岡市神島片島_5164,16,7,20.51282051,8.974358974
笠岡市生江浜_5002,51,64,10,12.54901961
笠岡市西大戸_4804,17,8,21.25,10
笠岡市西大島_5107,85,79,12.35465116,11.48255814
笠岡市西大島新田_5098,25,29,8.361204013,9.698996656
笠岡市西茂平_5143,4,1,50,12.5
笠岡市相生_4922,13,11,15.29411765,12.94117647
笠岡市走出_4496,74,32,20.38567493,8.815426997
笠岡市大げ_5004,42,29,14.04682274,9.698996656
笠岡市大井南_4865,85,13,8.374384236,1.280788177
笠岡市大河_4854,12,7,14.81481481,8.641975309
笠岡市大島中_5148,71,81,14.03162055,16.00790514
笠岡市拓海町_5111,5,4,14.28571429,11.42857143
笠岡市中央町_5037,21,67,6.034482759,19.25287356
笠岡市東大戸_4703,61,29,19.67741935,9.35483871
笠岡市二番町_5083,9,15,8.490566038,14.1509434
笠岡市入江_5095,28,32,7.446808511,8.510638298
笠岡市入田_4762,20,7,21.50537634,7.52688172
笠岡市馬飼_4978,19,5,21.59090909,5.681818182
笠岡市白石島_5316,13,100,4.406779661,33.89830508
笠岡市八番町_5100,4,6,6.666666667,10
笠岡市飛島小飛島_5331,0,3,0,37.5
笠岡市飛島大浦_5332,0,16,0,35.55555556
笠岡市尾坂_4591,21,18,17.64705882,15.12605042
笠岡市美の浜_5134,43,41,5.505761844,5.249679898
笠岡市富岡_5054,96,157,8.060453401,13.18219983
笠岡市平成町_5042,0,1,0,33.33333333
笠岡市北木島町金風呂_5319,5,64,2.450980392,31.37254902
笠岡市北木島町大浦_5323,2,97,0.85106383,41.27659574
笠岡市北木島町楠_5321,0,16,0,40
