幼稚園内人口,三歳（人）,四歳（人）,五歳（人）,園児人口総計（人）,学級数（学級）,教員数（人）,職員数（人）
奈義小学校,0,56,50,106,4,9,0
南輝小学校,0,66,70,136,5,7,1
南小学校,10,11,12,33,3,6,0
二万小学校,3,12,3,18,2,4,0
日笠小学校,0,0,0,0,0,0,0
日生東小学校,0,39,35,74,4,5,1
日比小学校,26,28,25,79,6,8,2
馬屋下小学校,0,2,9,11,1,1,0
馬屋上小学校,0,0,0,0,0,0,0
柏島小学校,0,11,13,24,2,3,0
白石小学校,0,0,0,0,0,0,0
幡多小学校,0,66,57,123,5,8,0
磐梨小学校,4,6,12,22,3,7,0
美作第一小学校,0,4,11,15,4,5,0
美作北小学校,0,17,17,34,4,5,0
美星小学校,13,10,19,42,3,5,0
美川小学校,0,2,4,6,2,2,0
美和小学校,3,1,2,6,1,2,0
富山小学校,0,47,49,96,4,6,1
富田小学校,12,14,29,55,3,6,0
浮田小学校,0,14,20,34,2,3,1
福地小学校,2,1,2,5,1,2,0
福田小学校,0,47,50,97,4,5,0
福浜小学校,0,44,37,81,4,5,1
平井小学校,21,45,46,112,5,6,0
平津小学校,0,8,12,20,2,2,0
平島小学校,15,17,14,46,3,5,0
平福小学校,0,37,43,80,4,6,1
米来小学校,0,9,8,17,2,4,0
芳井小学校,6,10,19,35,3,4,0
芳田小学校,0,25,39,64,3,4,0
芳明小学校,0,36,33,69,3,5,0
豊洲小学校,0,12,15,27,2,5,0
豊小学校,0,14,19,33,2,2,0
北小学校,0,29,22,51,2,6,0
北木小学校,1,1,1,3,3,1,1
牧石小学校,0,8,13,21,2,2,0
本荘小学校,0,20,31,38,89,6,13
妹尾小学校,0,64,64,128,5,7,1
万寿小学校,25,40,34,99,4,7,0
万寿東小学校,0,24,25,49,2,4,0
味野小学校,18,8,22,48,3,8,0
木之子小学校,0,7,6,13,2,2,0
野上小学校,0,1,1,2,1,2,0
野谷小学校,0,9,6,15,2,2,0
矢掛小学校,0,5,13,18,2,2,0
柳井原小学校,0,0,0,0,0,0,0
邑久小学校,38,53,55,146,6,9,0
雄神小学校,0,4,3,7,1,1,0
余野小学校,0,1,2,3,1,1,0
落合小学校,9,15,9,33,3,7,0
里庄西小学校,0,17,28,45,2,7,0
里庄東小学校,0,18,29,47,2,5,0
粒江小学校,17,29,31,77,3,5,0
竜之口小学校,0,29,28,57,2,4,0
陵南小学校,0,67,64,131,5,7,1
緑丘小学校,6,16,19,41,3,6,0
林田小学校,0,12,23,35,2,3,0
連島西浦小学校,0,14,22,36,2,4,0
連島東小学校,0,19,17,36,2,4,0
連島南小学校,0,26,27,53,2,4,0
老松小学校,39,48,52,139,6,9,0
六条院小学校,27,26,37,90,5,10,0
和気小学校,14,11,13,38,3,6,0
呰部小学校,0,1,8,9,2,4,0
