"中学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,男（人）,女（人）,計（人）,生徒数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
高梁市川上中学校,20,19,12,27,24,51,3,4,1
高梁市備中中学校,18,11,8,15,22,37,2,4,1
新見市新見第一中学校,139,137,151,225,202,427,20,16,4
新見市新見南中学校,50,51,59,77,83,160,5,8,2
新見市大佐中学校,31,23,25,47,32,79,3,4,1
新見市哲多中学校,20,30,24,31,43,74,2,4,1
新見市哲西中学校,21,19,18,33,25,58,2,4,1
備前市備前中学校,106,108,132,184,162,346,17,14,4
備前市伊里中学校,49,42,44,76,59,135,0,6,0
備前市三石中学校,15,17,15,26,21,47,0,3,0
備前市日生中学校,60,75,60,98,97,195,3,7,1
備前市吉永中学校,43,30,45,67,51,118,5,6,1
瀬戸内市牛窓中学校,42,37,48,76,51,127,5,6,1
瀬戸内市邑久中学校,148,171,165,226,258,484,11,17,3
瀬戸内市長船中学校,116,126,122,186,178,364,5,13,2
赤磐市高陽中学校,107,125,94,173,153,326,24,13,4
赤磐市桜が丘中学校,182,201,169,260,292,552,14,19,2
赤磐市赤坂中学校,35,37,35,54,53,107,6,5,2
赤磐市磐梨中学校,64,46,54,89,75,164,5,7,1
赤磐市吉井中学校,29,37,30,44,52,96,5,5,2
真庭市北房中学校,48,43,43,76,58,134,4,7,1
真庭市落合中学校,104,95,125,170,154,324,3,12,2
真庭市久世中学校,106,113,103,154,168,322,10,13,3
真庭市勝山中学校,65,67,91,116,107,223,13,10,3
真庭市湯原中学校,11,19,22,27,25,52,1,4,1
真庭市蒜山中学校,36,52,52,68,72,140,1,7,1
美作市勝田中学校,10,14,13,20,17,37,0,3,0
美作市大原中学校,37,45,42,61,63,124,6,7,2
美作市美作中学校,115,100,116,163,168,331,13,11,2
美作市作東中学校,40,48,50,56,82,138,7,8,2
美作市英田中学校,18,14,23,31,24,55,3,4,1
浅口市金光中学校,87,81,92,130,130,260,8,10,2
浅口市鴨方中学校,151,140,139,214,216,430,10,15,2
浅口市寄島中学校,32,34,39,57,48,105,3,5,2
和気郡和気町佐伯中学校,17,19,28,33,31,64,5,5,2
和気郡和気町和気中学校,104,97,100,157,144,301,13,11,2
都窪郡早島町早島中学校,113,107,118,178,160,338,7,12,2
浅口郡里庄町里庄中学校,98,92,97,149,138,287,4,10,1
小田郡矢掛町矢掛中学校,114,99,106,185,134,319,23,12,3
真庭郡新庄村新庄中学校,6,10,8,9,15,24,0,3,0
苫田郡鏡野町鏡野中学校,92,121,99,154,158,312,13,14,3
勝田郡勝央町勝央中学校,105,100,85,152,138,290,9,11,2
勝田郡奈義町奈義中学校,55,42,51,81,67,148,5,8,2
英田郡西粟倉村西粟倉中学校,6,13,13,14,18,32,0,3,0
久米郡久米南町久米南中学校,37,45,44,56,70,126,7,6,2
久米郡美咲町中央中学校,53,55,63,94,77,171,11,8,2
久米郡美咲町旭中学校,16,13,14,25,18,43,2,4,1
久米郡美咲町柵原中学校,53,55,49,75,82,157,2,7,1
#N/A,85,78,84,133,114,247,16,9,3
#N/A,,,,,,,,,
#N/A,,,,,,,,,
#N/A,,,,,,,,,
