第64表 医師・歯科医師・薬剤師数および率（人口10万対），従業地による保健所・市町村別,03_総数,04_医師医療施設の従事者,05_医療施設以外の従事者,06_その他,07_総数,08_歯科医師医療施設の従事者,09_医療施設以外の従事者,10_その他,11_総数,12_薬剤師薬局の従事者,13_病院・診療所の従事者,14_大学の従事者,15_医薬品関係従事者,16_衛生行政・保健衛生従事者,17_その他,18_平成２６年末現在率(人口１０万対）医師,19_歯科医師,20_薬剤師,24_人口,25_医師,26_歯科医師,27_薬剤師
登別市,57,56,1,0,28,28,0,0,51,33,17,0,0,1,0,114.6,56.3,102.6,49730,114.6,56.3,102.6
伊達市,72,68,4,0,22,22,0,0,67,47,17,0,1,0,2,204.3,62.4,190.1,35250,204.3,62.4,190.1
豊浦町,2,2,0,0,3,3,0,0,2,1,1,0,0,0,0,46,69,46,4350,46,69,46
壮瞥町,8,7,1,0,1,1,0,0,5,0,4,0,0,0,1,268.5,33.6,167.8,2980,268.5,33.6,167.8
洞爺湖町,18,18,0,0,6,6,0,0,20,11,9,0,0,0,0,192.1,64,213.4,9370,192.1,64,213.4
苫小牧市,327,315,8,4,110,102,1,7,287,196,68,0,10,4,9,189.4,63.7,166.3,172620,189.4,63.7,166.3
白老町,9,8,1,0,14,13,0,1,5,3,2,0,0,0,0,50.2,78.1,27.9,17930,50.2,78.1,27.9
厚真町,2,2,0,0,2,2,0,0,2,2,0,0,0,0,0,42.8,42.8,42.8,4670,42.8,42.8,42.8
安平町,4,4,0,0,5,4,0,1,4,3,1,0,0,0,0,48.4,60.5,48.4,8260,48.4,60.5,48.4
むかわ町,4,4,0,0,7,7,0,0,8,5,2,0,1,0,0,45.1,78.9,90.2,8870,45.1,78.9,90.2
浦河町,19,17,2,0,8,8,0,0,27,19,5,0,0,1,2,142.7,60.1,202.9,13310,142.7,60.1,202.9
様似町,1,1,0,0,2,2,0,0,3,3,0,0,0,0,0,21.8,43.7,65.5,4580,21.8,43.7,65.5
えりも町,4,4,0,0,2,2,0,0,4,4,0,0,0,0,0,79.7,39.8,79.7,5020,79.7,39.8,79.7
日高町,14,13,0,1,9,9,0,0,15,11,4,0,0,0,0,111.2,71.5,119.1,12590,111.2,71.5,119.1
平取町,4,4,0,0,3,3,0,0,4,3,0,0,0,0,1,76.8,57.6,76.8,5210,76.8,57.6,76.8
新冠町,3,3,0,0,2,2,0,0,3,2,1,0,0,0,0,53.7,35.8,53.7,5590,53.7,35.8,53.7
新ひだか町,34,32,1,1,15,15,0,0,45,31,10,0,1,2,1,142.3,62.8,188.4,23890,142.3,62.8,188.4
帯広市,452,448,2,2,149,148,1,0,368,227,101,1,20,4,15,270.1,89.1,219.9,167320,270.1,89.1,219.9
音更町,39,39,0,0,19,19,0,0,55,37,12,0,2,0,4,87.1,42.4,122.8,44790,87.1,42.4,122.8
士幌町,3,3,0,0,3,3,0,0,4,3,1,0,0,0,0,49.1,49.1,65.5,6110,49.1,49.1,65.5
上士幌町,3,3,0,0,2,2,0,0,4,4,0,0,0,0,0,63,42,84,4760,63,42,84
鹿追町,4,4,0,0,2,2,0,0,3,1,1,0,0,0,1,71.7,35.8,53.8,5580,71.7,35.8,53.8
新得町,3,3,0,0,5,5,0,0,3,3,0,0,0,0,0,47.7,79.5,47.7,6290,47.7,79.5,47.7
清水町,9,9,0,0,3,3,0,0,13,9,3,0,0,0,1,94.1,31.4,136,9560,94.1,31.4,136
芽室町,18,16,2,0,12,12,0,0,27,19,5,0,2,0,1,96.3,64.2,144.5,18690,96.3,64.2,144.5
中札内村,1,1,0,0,2,2,0,0,1,0,1,0,0,0,0,25.3,50.5,25.3,3960,25.3,50.5,25.3
更別村,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,92,30.7,－,3260,92,30.7,－
大樹町,7,7,0,0,2,2,0,0,7,4,2,0,0,0,1,122.4,35,122.4,5720,122.4,35,122.4
広尾町,6,6,0,0,3,3,0,0,11,7,2,0,1,0,1,82.8,41.4,151.7,7250,82.8,41.4,151.7
幕別町,16,14,2,0,10,10,0,0,16,10,4,0,0,0,2,59.8,37.4,59.8,26770,59.8,37.4,59.8
池田町,7,7,0,0,4,4,0,0,4,2,2,0,0,0,0,99.6,56.9,56.9,7030,99.6,56.9,56.9
豊頃町,1,1,0,0,1,1,0,0,2,1,0,0,1,0,0,31.6,31.6,63.3,3160,31.6,31.6,63.3
本別町,7,7,0,0,5,5,0,0,8,6,2,0,0,0,0,92.2,65.9,105.4,7590,92.2,65.9,105.4
足寄町,7,6,1,0,3,3,0,0,9,7,1,0,0,0,1,97.8,41.9,125.7,7160,97.8,41.9,125.7
陸別町,2,2,0,0,2,2,0,0,1,0,1,0,0,0,0,80,80,40,2500,80,80,40
浦幌町,3,3,0,0,3,3,0,0,3,3,0,0,0,0,0,59.6,59.6,59.6,5030,59.6,59.6,59.6
釧路市,374,369,5,0,115,114,1,0,351,214,87,0,43,2,5,214.8,66.1,201.6,174090,214.8,66.1,201.6
