第84表 医療施設の病床数，施設の種類・保健所・市町村別,02_総数,03_病院小計,04_精神病床,05_感染症病床,06_結核病床,07_療養病床,08_一般病床,09_一般診療所小計,10_療養病床,11_平成26年10月１日現在一般病床,12_歯科診療所
滝上町,54,54,,,,28,26,,,,
興部町,66,66,,,,34,32,,,,
西興部村,,,,,,,,,,,
雄武町,25,25,,,,,25,,,,
稚内市,536,517,100,4,,105,308,19,,19,
猿払村,28,28,,,,4,24,,,,
浜頓別町,60,60,,,,24,36,,,,
中頓別町,50,50,,,,,50,,,,
枝幸町,83,83,,,,37,46,,,,
豊富町,42,42,,,,,42,,,,
礼文町,19,,,,,,,19,,19,
利尻町,42,42,,,,,42,,,,
利尻富士町,,,,,,,,,,,
幌延町,19,,,,,,,19,19,,
留萌市,613,570,99,4,,167,300,43,,43,
増毛町,19,,,,,,,19,,19,
小平町,,,,,,,,,,,
苫前町,,,,,,,,,,,
羽幌町,155,155,,,,35,120,,,,
初山別村,36,36,,,,20,16,,,,
遠別町,,,,,,,,,,,
天塩町,48,48,,,,18,30,,,,
鷹栖町,3,,,,,,,3,,3,
東神楽町,120,120,120,,,,,,,,
当麻町,,,,,,,,,,,
比布町,19,,,,,,,19,4,15,
愛別町,19,,,,,,,19,8,11,
上川町,19,,,,,,,19,,19,
東川町,19,,,,,,,19,,19,
美瑛町,98,98,,,,,98,,,,
幌加内町,42,42,,,,42,,,,,
