産婦人科時間距離,人口,時間距離 平均,時間距離 最大,時間距離 最小,時間距離 最大最小比
標茶町,7428.66209992,2197.10432612,3194.1,1120.9
歌志内市,5289.6600425,780.433333333,1324.0,427.6
比布町,3648.04140862,1328.49301075,2513.0,896.3
江別市,113457.465624,440.825294118,1168.0,42.5
江差町,7931.11224764,328.073076923,681.6,33.6
池田町,8040.04681748,1411.7211039,3042.4,798.0
沼田町,3243.54792836,1061.221875,1495.9,808.3
泊村,1292.01466555,1640.03684211,1900.2,1386.9
洞爺湖町,6570.69680567,1354.7447619,2153.4,556.5
津別町,6450.78433344,1927.92845188,3175.2,863.2
浜中町,6140.02525049,1954.39164345,3378.6,1079.8
浜頓別町,4860.67739538,4376.44771242,5140.7,3611.1
浦幌町,4169.06954499,2729.75762712,3397.2,2129.4
浦河町,8880.2785771,673.7,1571.1,5.6
浦臼町,3120.25764002,926.304487179,1307.0,520.6
深川市,25255.9311225,519.034603175,1808.7,21.5
清水町,9001.87995739,1096.8307393,1911.1,404.1
清里町,4305.87109782,2183.98656126,2744.3,1735.8
湧別町,9554.99734689,1046.77822014,2055.8,236.5
滝上町,3068.7459442,2030.62676056,2878.6,1353.4
滝川市,39988.2761259,419.057185629,1106.0,39.0
猿払村,2616.96303827,3191.00882353,4037.9,2473.5
由仁町,5603.79694158,1390.09676375,2174.3,1017.8
えりも町,2469.18358306,2240.75342466,3089.8,1361.5
せたな町,8392.18414789,2870.29328165,3818.9,1789.9
むかわ町,9661.39855465,2573.19338061,4307.6,1492.7
ニセコ町,4851.38840105,978.109504132,1570.1,392.8
留寿都村,2111.97952846,1762.53960396,2137.4,1338.2
留萌市,23075.5508176,471.168211921,1333.5,98.5
登別市,48442.949872,935.864864865,1777.6,203.1
白糠町,8740.94366219,1739.93488372,2949.2,949.4
白老町,15798.045989,1465.28796296,2313.8,838.9
真狩村,1963.35561922,1435.85677419,1969.7,918.5
知内町,5362.28308907,2363.06716418,2907.2,1886.0
石狩市,56451.7518904,1282.86136364,2895.2,250.3
砂川市,19520.3993523,250.406593407,949.8,27.4
礼文町,2812.87637318,15472.2970588,16352.5,14741.7
神恵内村,906.943627977,2269.9375,2736.7,2055.0
福島町,4391.16095483,3406.4140625,3931.5,2792.7
秩父別町,3089.85729494,696.807377049,1137.4,428.8
稚内市,40630.0611885,963.877370031,2347.2,56.5
積丹町,2853.41016661,2669.66627907,3240.1,2032.9
紋別市,25464.5112678,763.728612717,2172.3,48.0
網走市,41116.4667097,779.041044776,2244.7,33.0
置戸町,3468.17270028,1827.96805556,2886.8,1300.9
羅臼町,4430.00584019,3144.37816092,4464.7,2173.2
美唄市,28965.6176753,951.606707317,1434.1,480.1
美幌町,20896.8594208,1491.00605381,2656.1,684.4
美深町,4489.96207631,1340.05441176,2203.9,856.3
美瑛町,10594.5202575,1462.02810707,5234.1,578.3
羽幌町,8403.16205028,2698.76193548,3606.8,2179.3
興部町,4123.46902739,1284.98809524,2307.6,650.8
芦別市,18871.0142034,1430.88833922,2399.7,477.0
芽室町,23678.4909949,597.588235294,1501.9,16.2
苫前町,3381.19393522,2280.59161677,3050.1,1670.3
苫小牧市,159307.097171,551.851697128,1872.2,25.3
蘭越町,4528.80696168,1864.42931034,2796.3,1201.0
西興部村,1235.43624556,2229.435,2819.1,1830.2
訓子府町,4909.65572911,1125.40677966,1785.4,608.4
豊富町,5899.355852,1973.42240664,2782.3,1070.8
豊浦町,2219.22519025,1506.24180328,2340.6,926.6
豊頃町,3083.94611673,2022.11858407,3323.5,1054.4
赤井川村,1153.52420467,1554.3,1973.7,1095.6
赤平市,12598.4096702,730.0,1246.8,357.9
足寄町,7785.86615452,3341.9372315,4701.4,2294.9
遠別町,2627.09648663,4392.92695652,5847.9,3720.4
遠軽町,22855.1483158,847.946153846,2607.1,16.4
釧路市,166939.272692,1223.75393939,3713.9,6.8
釧路町,22427.8545768,686.994252874,2168.3,166.5
長万部町,5594.50794725,1652.46357616,3220.4,760.5
長沼町,12767.3004762,990.887972509,1342.3,552.2
陸別町,2356.02674307,3150.58695652,3849.6,1983.6
雄武町,5039.70164969,2207.09793814,3340.8,1268.7
雨竜町,2851.72125855,882.494054054,1477.8,526.8
音威子府村,906.099173948,2373.2173913,2792.5,2023.0
音更町,34971.374735,949.344987147,2113.9,182.6
鶴居村,2595.85168753,2094.19271255,3393.5,1007.7
鷹栖町,7286.79382292,1035.04539007,1764.4,453.5
鹿追町,5706.82033321,1709.06219178,3080.1,949.5
鹿部町,4821.83251001,2148.71891892,2459.1,1894.5
黒松内町,3137.99117464,2632.87680412,3125.6,2049.2
